Entity_04,Code_04,Year_04,Meat_04,GDP_04,Population_04,Entity_10,Code_10,Year_10,Meat_10,GDP_10,Population_10,Entity_16,Code_16,Year_16,Meat_16,GDP_16,Population_16
Afghanistan,AFG,2004,13.29818535,1200.277954,23553554,Afghanistan,AFG,2010,12.02020168,1957.029053,28189672,Afghanistan,AFG,2016,10.17999268,2057.067871,34636212
Algeria,DZA,2004,21.21752357,10058.42578,32510184,Algeria,DZA,2010,19.57975578,10970.69238,35856348,Algeria,DZA,2016,20.68979645,11826.15137,40339328
Angola,AGO,2004,16.30224609,5593.243652,18771128,Angola,AGO,2010,23.43975449,7692.434082,23364196,Angola,AGO,2016,21.92963409,7568.998047,29154742
Antigua and Barbuda,ATG,2004,69.77659607,18743.57227,78955,Antigua and Barbuda,ATG,2010,80.81244659,18206.01563,85710,Antigua and Barbuda,ATG,2016,71.80279541,19419.63281,90575
Argentina,ARG,2004,86.83526611,18032.61133,38668796,Argentina,ARG,2010,96.4405899,23521.26953,41100124,Argentina,ARG,2016,108.8588486,23189.52734,43668236
Armenia,ARM,2004,26.99557304,6472.14209,3065748,Armenia,ARM,2010,41.37548447,9286.197266,2946296,Armenia,ARM,2016,37.88810349,11303.06738,2865841
Australia,AUS,2004,109.5737,41472.53906,19925060,Australia,AUS,2010,119.5616837,44914.98047,22019166,Australia,AUS,2016,122.9714737,48116.03125,24195706
Austria,AUT,2004,94.91417694,48633.27344,8171215,Austria,AUT,2010,105.6506958,51843.42969,8362829,Austria,AUT,2016,85.75700378,53345.74219,8736491
Azerbaijan,AZE,2004,18.13440895,5610.763184,8556168,Azerbaijan,AZE,2010,29.45848274,14082.23828,9237203,Azerbaijan,AZE,2016,32.83986282,14232.19238,9976254
Bahamas,BHS,2004,101.4993744,39804.52344,343097,Bahamas,BHS,2010,112.8503494,36547.42969,373277,Bahamas,BHS,2016,87.13775635,35701.23047,395986
Bangladesh,BGD,2004,3.732272863,2171.688721,138789728,Bangladesh,BGD,2010,3.909988403,2883.466797,148391136,Bangladesh,BGD,2016,4.469995499,3920.144531,159784576
Barbados,BRB,2004,63.16757584,15210.07227,268514,Barbados,BRB,2010,66.8289566,15596.61719,274717,Barbados,BRB,2016,70.11952209,15738.0791,278660
Belarus,BLR,2004,59.65442276,10839.95605,9999713,Belarus,BLR,2010,86.53388977,17300.70313,9731426,Belarus,BLR,2016,78.55301666,17883.12695,9708111
