Entity_92,Code_92,Year_92,Meat_92,GDP_92,Population_92,Entity_98,Code_98,Year_98,Meat_98,GDP_98,Population_98,Entity_04,Code_04,Year_04,Meat_04,GDP_04,Population_04,Entity_10,Code_10,Year_10,Meat_10,GDP_10,Population_10,Entity_16,Code_16,Year_16,Meat_16,GDP_16,Population_16
Algeria,DZA,1992,18.14386368,8383.758789,26748302,Algeria,DZA,1998,18.71080208,8360.140625,29924664,Algeria,DZA,2004,21.21752357,10058.42578,32510184,Algeria,DZA,2010,19.57975578,10970.69238,35856348,Algeria,DZA,2016,20.68979645,11826.15137,40339328
Angola,AGO,1992,12.35270405,5148.254883,12632509,Angola,AGO,1998,12.62512589,4792.684082,15366866,Angola,AGO,2004,16.30224609,5593.243652,18771128,Angola,AGO,2010,23.43975449,7692.434082,23364196,Angola,AGO,2016,21.92963409,7568.998047,29154742
Antigua and Barbuda,ATG,1992,74.15271759,15500.72852,64676,Antigua and Barbuda,ATG,1998,77.58887482,17260.56445,72589,Antigua and Barbuda,ATG,2004,69.77659607,18743.57227,78955,Antigua and Barbuda,ATG,2010,80.81244659,18206.01563,85710,Antigua and Barbuda,ATG,2016,71.80279541,19419.63281,90575
Argentina,ARG,1992,90.33757782,16209.32617,33568280,Argentina,ARG,1998,93.36778259,19866.24414,36233196,Argentina,ARG,2004,86.83526611,18032.61133,38668796,Argentina,ARG,2010,96.4405899,23521.26953,41100124,Argentina,ARG,2016,108.8588486,23189.52734,43668236
Armenia,ARM,1992,18.61335182,2735.786621,3574558,Armenia,ARM,1998,21.31951141,3654.052979,3240550,Armenia,ARM,2004,26.99557304,6472.14209,3065748,Armenia,ARM,2010,41.37548447,9286.197266,2946296,Armenia,ARM,2016,37.88810349,11303.06738,2865841
Australia,AUS,1992,112.9572296,30259.41797,17462500,Australia,AUS,1998,111.9386292,35876.22266,18601666,Australia,AUS,2004,109.5737,41472.53906,19925060,Australia,AUS,2010,119.5616837,44914.98047,22019166,Australia,AUS,2016,122.9714737,48116.03125,24195706
Austria,AUT,1992,109.2345352,38774.49219,7840816,Austria,AUT,1998,95.8862381,43597.89063,7975856,Austria,AUT,2004,94.91417694,48633.27344,8171215,Austria,AUT,2010,105.6506958,51843.42969,8362829,Austria,AUT,2016,85.75700378,53345.74219,8736491
Azerbaijan,AZE,1992,18.28864098,5690.181152,7643343,Azerbaijan,AZE,1998,18.66619873,3408.475342,8041100,Azerbaijan,AZE,2004,18.13440895,5610.763184,8556168,Azerbaijan,AZE,2010,29.45848274,14082.23828,9237203,Azerbaijan,AZE,2016,32.83986282,14232.19238,9976254
Bahamas,BHS,1992,92.6602478,33855.80859,281982,Bahamas,BHS,1998,95.25292206,35604.78125,315410,Bahamas,BHS,2004,101.4993744,39804.52344,343097,Bahamas,BHS,2010,112.8503494,36547.42969,373277,Bahamas,BHS,2016,87.13775635,35701.23047,395986
Bangladesh,BGD,1992,3.123554468,1582.313599,111272104,Bangladesh,BGD,1998,3.42901063,1829.503784,124350472,Bangladesh,BGD,2004,3.732272863,2171.688721,138789728,Bangladesh,BGD,2010,3.909988403,2883.466797,148391136,Bangladesh,BGD,2016,4.469995499,3920.144531,159784576
Barbados,BRB,1992,78.00513458,12579.46777,260226,Barbados,BRB,1998,79.98191833,14548.81836,263647,Barbados,BRB,2004,63.16757584,15210.07227,268514,Barbados,BRB,2010,66.8289566,15596.61719,274717,Barbados,BRB,2016,70.11952209,15738.0791,278660
Belarus,BLR,1992,79.79017639,7923.650391,10475912,Belarus,BLR,1998,64.77329254,7293.908203,10357472,Belarus,BLR,2004,59.65442276,10839.95605,9999713,Belarus,BLR,2010,86.53388977,17300.70313,9731426,Belarus,BLR,2016,78.55301666,17883.12695,9708111
Belize,BLZ,1992,41.82499313,5852.828613,190312,Belize,BLZ,1998,41.99059296,5765.631348,224917,Belize,BLZ,2004,49.06768417,7413.879395,272141,Belize,BLZ,2010,43.67692947,7294.663086,322115,Belize,BLZ,2016,41.3251915,7206.952637,367327
Benin,BEN,1992,11.18608475,2179.507324,5457781,Benin,BEN,1998,10.81511021,2358.280029,6584179,Benin,BEN,2004,14.57831478,2614.212402,7894558,Benin,BEN,2010,23.51935196,2704.705566,9445716,Benin,BEN,2016,21.3698597,2961.44043,11260091
Bolivia,BOL,1992,38.02757263,4705.586914,7394417,Bolivia,BOL,1998,48.07403564,5469.469727,8286930,Bolivia,BOL,2004,50.76728058,5605.20166,9216282,Bolivia,BOL,2010,69.82279968,6612.803223,10223277,Bolivia,BOL,2016,78.0512619,8202.543945,11263016
Botswana,BWA,1992,35.27283096,8799.828125,1420696,Botswana,BWA,1998,24.05137062,9911.135742,1655707,Botswana,BWA,2004,27.47513008,11305.57324,1859087,Botswana,BWA,2010,26.98855972,13126.21484,2091666,Botswana,BWA,2016,25.11087227,15654.68164,2352419
Brazil,BRA,1992,53.7978363,10211.29785,155900784,Brazil,BRA,1998,72.08676147,11387.62305,171039808,Brazil,BRA,2004,81.21155548,12316.37402,184722048,Brazil,BRA,2010,89.34015656,14873.20801,196353504,Brazil,BRA,2016,96.76997375,14451.15332,206859584
Bulgaria,BGR,1992,53.19244766,10840.0791,8668545,Bulgaria,BGR,1998,65.59619904,10848.4209,8234934,Bulgaria,BGR,2004,50.64241791,13701.50098,7865314,Bulgaria,BGR,2010,55.87991714,18160.60742,7592271,Bulgaria,BGR,2016,56.7904129,20740.79492,7245982
Burkina Faso,BFA,1992,13.51984024,1054.253662,9598555,Burkina Faso,BFA,1998,13.9590807,1254.137085,11201067,Burkina Faso,BFA,2004,16.93444824,1447.503662,13445981,Burkina Faso,BFA,2010,16.79977226,1716.358276,16116851,Burkina Faso,BFA,2016,13.22975159,1981.42981,19275504
Cameroon,CMR,1992,14.67106915,2968.999756,12128609,Cameroon,CMR,1998,14.08829403,2775.047363,14314604,Cameroon,CMR,2004,17.10220718,3160.892578,16809406,Cameroon,CMR,2010,14.06983662,3223.51001,19878044,Cameroon,CMR,2016,13.53025532,3634.381104,23711626
Cape Verde,CPV,1992,30.16198921,1868.638428,381957,Cape Verde,CPV,1998,23.94819069,3319.834961,440223,Cape Verde,CPV,2004,31.30802727,4709.037109,486591,Cape Verde,CPV,2010,34.32478714,6200.34375,521219,Cape Verde,CPV,2016,30.78188515,6482.72168,558399
Central African Republic,CAF,1992,27.11554527,1060.638306,2991733,Central African Republic,CAF,1998,27.74860382,1078.453857,3555074,Central African Republic,CAF,2004,32.54929352,1037.844727,4115146,Central African Republic,CAF,2010,33.68180466,1201.352173,4660066,Central African Republic,CAF,2016,37.7026329,884.4951782,4904182
Chad,TCD,1992,16.88274956,1103.797363,6302934,Chad,TCD,1998,15.26896095,980.234436,7709112,Chad,TCD,2004,12.91676807,1430.368286,9613509,Chad,TCD,2010,36.31959152,1732.691528,11894734,Chad,TCD,2016,41.8609848,1687.053589,14592587
Chile,CHL,1992,42.7169342,11421.03809,13782300,Chile,CHL,1998,62.86316299,15271.47168,14996745,Chile,CHL,2004,69.83094025,17807.16992,16017966,Chile,CHL,2010,75.78207397,21262.4668,17004166,Chile,CHL,2016,87.81964874,24531.35742,18083880
China,CHN,1992,27.38102722,1731.657227,1183813376,China,CHN,1998,39.69791794,3004.427246,1246836096,China,CHN,2004,46.29238892,4817.211914,1296816768,China,CHN,2010,57.18001556,8884.587891,1348191360,China,CHN,2016,61.13998032,13399.1377,1401889664
Colombia,COL,1992,33.32857895,8478.203125,33939044,Colombia,COL,1998,36.16098022,9473.818359,37944416,Colombia,COL,2004,37.36719131,9716.499023,41648272,Colombia,COL,2010,46.00030518,11783.2998,44816104,Colombia,COL,2016,57.31994247,14194.51563,47625960
Congo,COG,1992,27.88482475,5040.35791,2520964,Congo,COG,1998,16.54223061,4448.40918,2937169,Congo,COG,2004,20.02314758,4438.977539,3543018,Congo,COG,2010,19.33118439,5169.16748,4437883,Congo,COG,2016,31.87002563,4544.075684,5186830
Costa Rica,CRI,1992,41.94869232,10528.34766,3321943,Costa Rica,CRI,1998,41.31738281,12148.19727,3821428,Costa Rica,CRI,2004,41.83537292,13802.72852,4252803,Costa Rica,CRI,2010,51.31584167,16830.43555,4622250,Costa Rica,CRI,2016,49.45660782,19736.66602,4945205
Cote d'Ivoire,CIV,1992,18.2957592,3967.561523,12838315,Cote d'Ivoire,CIV,1998,13.13941765,4328.758789,15858988,Cote d'Ivoire,CIV,2004,13.48967838,3545.085693,18544900,Cote d'Ivoire,CIV,2010,11.94003201,3778.208496,21120040,Cote d'Ivoire,CIV,2016,11.00012684,4615.709473,24213620
Cyprus,CYP,1992,82.04994965,26385.94141,810435,Cyprus,CYP,1998,85.0335083,30262.10547,914667,Cyprus,CYP,2004,81.30735016,36498.35156,1018688,Cyprus,CYP,2010,82.35834503,38296.69922,1129693,Cyprus,CYP,2016,74.83790588,36509.07031,1197889
Denmark,DNK,1992,102.3970566,40108.89063,5175466,Denmark,DNK,1998,108.3917694,46096.37109,5298991,Denmark,DNK,2004,72.1798172,50446.54297,5415583,Denmark,DNK,2010,76.24207306,50825.41406,5550850,Denmark,DNK,2016,78.01526642,54185.00781,5706856
