Entity_90,Code_90,Year_90,Meat_90,GDP_90,Population_90,Entity_93,Code_93,Year_93,Meat_93,GDP_93,Population_93,Entity_96,Code_96,Year_96,Meat_96,GDP_96,Population_96,Entity_99,Code_99,Meat_99,Meat_99,GDP_99,Population_99,Entity_02,Code_02,Year_02,Meat_02,GDP_02,Population_02,Entity_05,Code_05,Year_05,Meat_05,GDP_05,Population_05,Entity_08,Code_08,Year_08,Meat_08,GDP_08,Population_08,Entity_11,Code_11,Year_11,Meat_11,GDP_11,Population_11,Entity_14,Code_14,Year_14,Meat_14,GDP_14,Population_14,Entity_17,Code_17,Year_17,Meat_17,GDP_17,Population_17,Entity_19,Code_19,Year_19,Meat_19,GDP_19,Population_19
Algeria,DZA,1990,17.57219887,8746.34082,25518074,Algeria,DZA,1993,18.64598274,8027.365723,27354326,Algeria,DZA,1996,18.57000351,8116.949707,28984640,Algeria,DZA,1999,18.41422462,8506.334961,30346086,Afghanistan,AFG,2002,13.46870422,1189.784668,21000258,Afghanistan,AFG,2005,13.576787,1286.7937,24411196,Afghanistan,AFG,2008,11.84746552,1484.114502,26427204,Afghanistan,AFG,2011,11.38984489,1904.559937,29249156,Afghanistan,AFG,2014,12.21007156,2102.384521,32716214,Afghanistan,AFG,2017,9.279972076,2058.400146,35643420,Afghanistan,AFG,2019,8.300053596,2065.036133,37769496
Angola,AGO,1990,12.32399368,5783.429688,11828643,Angola,AGO,1993,10.97622585,3788.509521,13038277,Angola,AGO,1996,10.34155941,4551.650391,14383352,Angola,AGO,1999,11.85319519,4740.669434,15870759,Algeria,DZA,2002,17.96595955,9232.416016,31624700,Algeria,DZA,2005,21.4217358,10504.8447,32956690,Algeria,DZA,2008,19.24569893,10796.88867,34569592,Algeria,DZA,2011,19.99976158,11078.22852,36543548,Algeria,DZA,2014,21.38017082,11512.69043,38760168,Algeria,DZA,2017,19.84991646,11737.40137,41136548,Algeria,DZA,2019,19.33997536,11521.98438,42705372
Antigua and Barbuda,ATG,1990,87.17060852,15458.69336,63346,Antigua and Barbuda,ATG,1993,70.19094849,15992.15527,65849,Antigua and Barbuda,ATG,1996,78.13355255,16303.4248,69817,Antigua and Barbuda,ATG,1999,76.77960205,17551.73438,73833,Angola,AGO,2002,17.01185226,5240.839355,17516140,Angola,AGO,2005,18.5415077,6210.22217,19450962,Angola,AGO,2008,22.69029236,7864.374512,21691524,Angola,AGO,2011,26.1403656,7675.446289,24259120,Angola,AGO,2014,34.0702858,8239.831055,27128340,Angola,AGO,2017,24.41018867,7310.896484,30208634,Angola,AGO,2019,22.83978653,6670.331543,32353592
Argentina,ARG,1990,83.74630737,14144.76367,32637658,Argentina,ARG,1993,98.55649567,17312.03516,34027240,Argentina,ARG,1996,87.82389069,18104.69727,35389360,Argentina,ARG,1999,100.0008545,18981.16797,36653032,Antigua and Barbuda,ATG,2002,69.30445099,17143.58789,77216,Antigua and Barbuda,ATG,2005,81.6122818,19683.8418,79879,Antigua and Barbuda,ATG,2008,83.94091034,23131.93164,83267,Antigua and Barbuda,ATG,2011,84.19350433,17605.43945,86749,Antigua and Barbuda,ATG,2014,74.96305084,18104.68359,89252,Antigua and Barbuda,ATG,2017,74.22792816,19840.2832,91133,Antigua and Barbuda,ATG,2019,76.28955078,21850.13281,92127
Australia,AUS,1990,116.176857,31016.41602,17048002,Armenia,ARM,1993,18.11703491,2554.172119,3457344,Armenia,ARM,1996,18.86846733,3234.06958,3298903,Armenia,ARM,1999,20.14242172,3798.673828,3206033,Argentina,ARG,2002,79.56635284,15523.03906,37885024,Argentina,ARG,2005,89.2344971,19426.4395,39070504,Argentina,ARG,2008,96.32874298,23103.45703,40273768,Argentina,ARG,2011,98.2111969,24647.62891,41520736,Argentina,ARG,2014,103.8411942,23550.09961,42824064,Argentina,ARG,2017,112.169632,23597.11719,44054616,Argentina,ARG,2019,110.2308044,22066.10156,44745516
Austria,AUT,1990,103.1245804,37494.55859,7678732,Australia,AUS,1993,111.5766525,31173.47461,17631514,Australia,AUS,1996,108.5159607,33724.97266,18211850,Australia,AUS,1999,111.7830124,37219.64063,18800892,Armenia,ARM,2002,23.2393322,5081.518555,3105040,Armenia,ARM,2005,29.4798813,7419.87109,3047254,Armenia,ARM,2008,49.6368866,10467.53027,2983425,Armenia,ARM,2011,44.20713043,9725.27832,2928984,Armenia,ARM,2014,43.43398666,11019.83887,2889937,Armenia,ARM,2017,41.96300507,12115.13965,2851929,Armenia,ARM,2019,63.90587616,13653.76367,2820604
Bahamas,BHS,1990,103.7983627,38144.15625,270690,Austria,AUT,1993,105.6703339,38658.64844,7905280,Austria,AUT,1996,98.85074615,41319.375,7958043,Austria,AUT,1999,93.95413971,45060.61719,7991382,Australia,AUS,2002,112.4996872,39533.22266,19475842,Australia,AUS,2005,119.280579,42222.2734,20171732,Australia,AUS,2008,114.0273666,44743.66016,21247876,Australia,AUS,2011,123.5899887,45389.17188,22357032,Australia,AUS,2014,119.1778488,47232.875,23469578,Australia,AUS,2017,115.4117889,48398.55078,24590336,Australia,AUS,2019,115.4690857,49309.11328,25357168
Bangladesh,BGD,1990,3.070492506,1517.729248,107147656,Azerbaijan,AZE,1993,15.5197401,4309.921387,7740112,Azerbaijan,AZE,1996,15.99275303,2985.337158,7949107,Azerbaijan,AZE,1999,17.59660721,3628.716797,8101447,Austria,AUT,2002,93.65921783,47419.27734,8078994,Austria,AUT,2005,93.9528732,49387.0273,8227034,Austria,AUT,2008,88.89505768,53166.05469,8321134,Austria,AUT,2011,103.1660919,53179.14844,8391201,Austria,AUT,2014,82.72803497,52932.89844,8546066,Austria,AUT,2017,84.94094849,54172.98828,8797497,Austria,AUT,2019,82.17900848,55833.55859,8879939
Barbados,BRB,1990,98.54453278,13984.19238,258871,Bahamas,BHS,1993,89.64849854,33328.96484,288172,Bahamas,BHS,1996,87.64617157,35698.50781,304944,Bahamas,BHS,1999,102.7870941,39477.24219,320282,Azerbaijan,AZE,2002,16.07569885,4736.564453,8372128,Azerbaijan,AZE,2005,19.234787,7106.59815,8656243,Azerbaijan,AZE,2008,22.10978889,12672.37598,8999697,Azerbaijan,AZE,2011,30.44907951,13913.83691,9359018,Azerbaijan,AZE,2014,32.44131088,14867.94336,9741879,Azerbaijan,AZE,2017,33.90891266,14121.40723,10071569,Azerbaijan,AZE,2019,35.75099945,14442.04102,10232761
Belize,BLZ,1990,43.69365692,4854.975586,182603,Bangladesh,BGD,1993,3.217333555,1621.326904,113418760,Bangladesh,BGD,1996,3.318822145,1735.921997,119876872,Bangladesh,BGD,1999,3.488220453,1876.598999,126754824,Bahamas,BHS,2002,115.9841003,41420.99609,334015,Bahamas,BHS,2005,103.222672,40401.5313,347815,Bahamas,BHS,2008,106.8666229,38792.44531,362807,Bahamas,BHS,2011,84.9784317,36296.39453,377956,Bahamas,BHS,2014,96.16720581,35801.91797,389137,Bahamas,BHS,2017,87.98781586,35917.75781,399027,Bahamas,BHS,2019,87.74037933,36432.51953,404563
