Year,living_planet_index_average,living_planet_index_upper,living_planet_index_lower,Population
1970,100,100,100,3695390200
1971,99.1002759,100.9532123,97.3148947,3770163200
1972,97.9298836,101.1930825,94.7653954,3844800800
1973,96.7828407,101.005601,92.6636049,3920251400
1974,95.3454341,100.6185497,90.2682746,3995517000
1975,93.5558012,99.7971052,87.6303107,4069437200
1976,91.4892185,98.4079385,84.9337799,4142505700
1977,88.5352412,95.6108932,81.8530892,4215772400
1978,85.6840467,92.7871614,78.9862613,4289657600
1979,83.34748,90.6706792,76.5085063,4365583000
1980,81.5080934,89.2105091,74.388272,4444008000
1981,79.8368748,87.8251131,72.5191062,4524627500
1982,77.2813851,85.3322953,69.9519295,4607984600
1983,74.5181848,82.5459349,67.2454963,4691884000
1984,71.8320243,79.8806095,64.5434031,4775836000
1985,69.7531144,77.9047038,62.4385823,4861731000
1986,68.1256656,76.3793401,60.787447,4950063000
1987,66.322487,74.5704139,59.0472787,5040984600
1988,64.5467006,72.7827188,57.3601051,5132294000
1989,63.5743437,71.8383787,56.4036784,5223704000
1990,62.6811227,71.0306149,55.4894903,5316176000
1991,61.6091396,69.9998084,54.3542372,5406246000
1992,60.1198509,68.4920136,52.8812806,5492686300
1993,58.1092963,66.3660057,50.9784962,5577433600
1994,56.2008977,64.3275453,49.2023326,5660728000
1995,54.0360964,62.0324969,47.2029372,5743219700
1996,53.0421358,61.0120352,46.2224307,5825145300
1997,51.7500764,59.6143703,44.9995846,5906481000
1998,50.4664511,58.1777225,43.8092504,5987312600
1999,48.6643792,56.1624015,42.2015856,6067758600
2000,47.2215375,54.5681729,40.8896736,6148899000
2001,45.6713694,52.9140444,39.431147,6230747000
2002,44.4983943,51.6829678,38.3065339,6312407600
2003,43.5156567,50.6665223,37.3618957,6393898500
2004,42.9278308,50.1212936,36.7731788,6475751400
2005,42.2031513,49.44708,36.074307,6558176000
2006,41.2951521,48.5931377,35.203315,6641416000
2007,40.1428042,47.3578765,34.1396352,6725948400
2008,38.7193914,45.7816396,32.8353591,6811597300
2009,36.877125,43.7304842,31.1678583,6898306000
2010,35.1531515,41.8612842,29.5962132,6985603000
2011,33.4410414,40.0057175,28.0500189,7073125400
2012,32.3710899,38.8422426,27.0858778,7161698000
2013,31.7382643,38.1353535,26.500441,7250593300
2014,31.6690208,38.071988,26.3834578,7339013600
2015,31.6275314,38.0687196,26.2812118,7426597400
2016,31.1454081,37.5621374,25.7702126,7513474000
2017,30.8852702,37.3430403,25.4654517,7599822300
2018,30.8975673,37.4378072,25.400315,7683790000
