Entity,Code,Year,Meat,GDP,Population
Algeria,DZA,2001,17.20376587,8855.008789,31200984
Angola,AGO,2001,13.87927341,4766.836914,16941584
Antigua and Barbuda,ATG,2001,69.97370911,17207.91406,76227
Argentina,ARG,2001,94.18331909,17610.75586,37480492
Armenia,ARM,2001,21.93677139,4464.385742,3133138
Australia,AUS,2001,111.644783,38474.15234,19248146
Austria,AUT,2001,94.20935059,46878.91797,8039633
Azerbaijan,AZE,2001,15.59563255,4360.459473,8282030
Bahamas,BHS,2001,108.0962753,41001.75,329639
Bangladesh,BGD,2001,3.53166151,1998.066284,131670488
Barbados,BRB,2001,66.04255676,14713.40332,265384
Belarus,BLR,2001,60.01704788,8477.083984,10201212
Belgium,BEL,2001,86.12928009,43347.89063,10309249
Belize,BLZ,2001,45.36574554,6698.158203,248109
Benin,BEN,2001,13.54552555,2532.634033,7212043
Bermuda,BMU,2001,91.00428772,88231.78125,61785
Bolivia,BOL,2001,48.71879959,5402.759277,8746087
Bosnia and Herzegovina,BIH,2001,20.13085556,7779.797852,4194941
Botswana,BWA,2001,22.14544296,10457.14844,1761940
Brazil,BRA,2001,76.28170013,11602.5,178211888
Brunei,BRN,2001,64.88153076,69483.90625,340759
Bulgaria,BGR,2001,55.84025955,11124.50586,8034863
Burkina Faso,BFA,2001,14.19167614,1343.543579,12249767
Cambodia,KHM,2001,16.12739182,1570.073853,12338198
Cameroon,CMR,2001,14.72935104,2903.922119,15493256
Canada,CAN,2001,101.6407394,37309.64844,31002768
Cape Verde,CPV,2001,26.59206772,4084.444092,465970
Central African Republic,CAF,2001,31.55651093,1062.72229,3844780
Chad,TCD,2001,13.71921444,964.7374878,8538806
Chile,CHL,2001,66.10947418,15973.62012,15523973
China,CHN,2001,43.38139725,3712.338135,1272739584
Colombia,COL,2001,35.89822006,9051.414063,39837876
Congo,COG,2001,12.78243446,4438.691895,3254105
Costa Rica,CRI,2001,42.58636093,12832.57324,4053223
Cote d'Ivoire,CIV,2001,12.03267479,3953.124756,17245470
Croatia,HRV,2001,35.86393738,19661.06055,4506760
Cyprus,CYP,2001,86.21513367,33878.07422,964838
Czechia,CZE,2001,77.09842682,25833.41406,10230273
Denmark,DNK,2001,72.57854462,49133.22266,5360753
Dominica,DMA,2001,66.74369812,9602.501953,68171
Dominican Republic,DOM,2001,39.85778046,9410.032227,8669038
Ecuador,ECU,2001,42.82217789,8350.885742,12845523
Egypt,EGY,2001,19.19767761,7867.507324,72854256
El Salvador,SLV,2001,23.21496964,6591.269043,5988102
Estonia,EST,2001,59.50663757,18952.10742,1388000
Eswatini,SWZ,2001,28.52927399,5592.505859,1041400
Ethiopia,ETH,2001,7.278320313,765.8093872,69018936
Fiji,FJI,2001,42.16572189,9732.432617,841324
Finland,FIN,2001,66.60982513,40842.33984,5188007
France,FRA,2001,101.9409409,40226.62891,59014776
Gabon,GAB,2001,50.4391098,16522.19727,1306593
Gambia,GMB,2001,5.682575226,2327.354248,1479456
Georgia,GEO,2001,28.59116173,5236.222656,4144485
Germany,DEU,2001,83.46613312,43576.63672,81514568
Ghana,GHA,2001,9.82377243,2849.006104,20195584
Greece,GRC,2001,87.7621994,30180.35742,11072182
Grenada,GRD,2001,45.81216812,11333.73633,107945
Guatemala,GTM,2001,22.55381966,6493.606445,12009197
Guinea,GIN,2001,6.50976181,1730.302124,8445722
Guinea-Bissau,GNB,2001,15.79879475,1723.453003,1257390
Guyana,GUY,2001,31.54784012,7969.698242,759816
Haiti,HTI,2001,13.88707638,2884.217041,8511728
Honduras,HND,2001,22.43616295,4109.769531,6837861
Hong Kong,HKG,2001,119.7860794,36252.66016,6801538
Hungary,HUN,2001,88.60214996,20252.41016,10177955
Iceland,ISL,2001,80.71981049,42626.92188,285245
India,IND,2001,3.971896648,2656.655273,1078970880
Indonesia,IDN,2001,8.590408325,5816.425293,217112432
Iran,IRN,2001,25.33494377,10026.58203,66674856
Iraq,IRQ,2001,6.552536964,9089.706055,25425666
Ireland,IRL,2001,98.91760254,49744.625,3829019
Israel,ISR,2001,92.84999847,29282.52539,6237984
Italy,ITA,2001,90.64479065,43869.42969,56994992
Jamaica,JAM,2001,53.41080475,9399.371094,2625410
Japan,JPN,2001,44.16996765,36375.58594,127065736
Jordan,JOR,2001,34.63150787,9035.144531,5163313
Kazakhstan,KAZ,2001,43.52016068,11682.8418,15281288
Kenya,KEN,2001,13.23237991,3220.475586,31800344
Kiribati,KIR,2001,32.37919998,2115.501465,90543
Kuwait,KWT,2001,78.52331543,53578.82031,1991676
Kyrgyzstan,KGZ,2001,38.74544144,3212.133545,4981443
Laos,LAO,2001,14.74283409,2977.796875,5519714
Latvia,LVA,2001,39.5690155,13993.95313,2359255
Lebanon,LBN,2001,41.20303345,14359.43164,4389201
Lesotho,LSO,2001,16.1016407,1742.878052,1999478
Liberia,LBR,2001,8.639848709,1740.238525,2981655
Lithuania,LTU,2001,41.63023376,14872.37891,3560145
Luxembourg,LUX,2001,107.8317184,101143.1484,441254
Macao,MAC,2001,79.91313934,51283.8125,439129
Madagascar,MDG,2001,13.40940762,1658.935913,16709664
Malawi,MWI,2001,5.825733185,1044.579224,11498822
Malaysia,MYS,2001,47.07674026,15652.01465,23542522
Maldives,MDV,2001,13.71022224,12521.45801,287330
Mali,MLI,2001,18.16165161,1823.840698,11583825
Malta,MLT,2001,76.01593781,26956.81055,402163
Mauritania,MRT,2001,32.55334473,4126.220703,2761830
Mauritius,MUS,2001,38.61051559,12191.92773,1225272
Mexico,MEX,2001,57.54421616,17438.20898,99394288
Moldova,MDA,2001,22.17817688,5395.967285,4200500
Mongolia,MNG,2001,87.30464935,4614.387695,2472612
Morocco,MAR,2001,20.9539547,4633.941406,28930100
Mozambique,MOZ,2001,10.64979744,687.1494141,18220724
Myanmar,MMR,2001,11.0263586,1055.65332,46014828
Namibia,NAM,2001,39.63296509,6775.22168,1856406
Nepal,NPL,2001,9.919760704,2141.067139,24956070
Netherlands,NLD,2001,89.75670624,48160.78516,15981630
New Zealand,NZL,2001,100.8757019,33775.23438,3889587
Nicaragua,NIC,2001,17.8691864,4025.936523,5192765
Niger,NER,2001,20.4425354,964.7249146,12031431
Nigeria,NGA,2001,9.234775543,3075.003174,126152680
North America,,2001,94.00588989,48876.24609,492319208
North Macedonia,MKD,2001,30.13330841,9869.516602,2053391
Norway,NOR,2001,61.44923019,58018.3125,4514019
Oman,OMN,2001,47.79545593,39907.62891,2374655
Pakistan,PAK,2001,11.95150185,3277.05127,159217728
Panama,PAN,2001,57.74850845,14311.02148,3061029
Paraguay,PRY,2001,65.87273407,8295.067383,5211540
Peru,PER,2001,16.12867546,6380.337891,27014912
